7742382 55 0 138 5
9139429 37 2 142 4
9515366 37 2 146 5
8752028 69 0 143 4
4892031 83 1 120 4
4237520 56 0 149 3
1517148 24 1 118 4
1631702 55 0 131 4
8409865 82 2 100 6
4092474 61 3 130 3
930136 80 1 179 4
7317208 25 1 58 3
6070966 79 1 102 5
3616623 89 3 97 5
2816819 69 3 113 4
9662714 63 0 85 4
570234 56 3 103 5
6668408 34 1 104 4
1645289 82 2 78 5
2467424 67 1 79 3
8830397 36 2 128 5
745801 49 1 145 4
7119642 104 1 136 5
948817 50 2 106 4
5302095 74 1 119 4
2126174 51 0 90 4
7404155 54 1 77 6
416160 73 0 79 6
4965490 66 0 89 4
7522148 79 1 116 5
2659515 41 0 76 4
5425354 51 1 118 5
1034216 50 2 27 5
1238033 57 1 137 5
6830099 67 1 128 3
2223216 46 0 93 3
4082556 58 1 143 4
674211 34 1 72 3
2718197 64 2 82 4
8263416 46 1 117 3
2169426 61 2 149 4
8709565 92 1 143 5
6751671 69 1 148 3
5671738 77 2 117 5
8818215 48 0 128 4
3784071 53 2 150 3
8201602 30 1 125 3
2936367 68 0 98 4
573772 46 3 68 5
4995626 72 3 86 5
3055351 104 3 83 7
5646994 79 0 74 5
9286753 14 1 175 2
2602931 44 2 142 4
4242196 77 1 46 4
1778486 60 2 119 4
630878 59 1 125 3
8256767 79 1 73 5
1454619 27 2 120 3
7710642 89 3 99 5
9342709 52 1 155 3
2527310 57 1 119 4
2106957 31 1 159 3
7621615 54 1 75 4
8401331 39 1 85 5
7496524 71 1 113 4
2006709 87 2 117 5
5124224 70 2 96 6
6834107 49 1 104 5
2806060 51 1 130 4
3171472 21 2 86 2
8450368 57 1 128 5
5768749 26 1 135 4
9891494 44 1 124 4
7710345 100 2 131 7
1899738 108 2 81 6
7163736 27 1 112 2
324414 34 2 121 2
7112827 77 2 97 6
1618823 69 2 73 5
360464 81 2 73 7
5779027 87 2 101 5
8303942 73 1 65 4
2891628 68 1 81 3
6083887 54 2 134 5
6207258 56 1 119 5
7109600 70 1 21 5
4288464 28 1 125 3
8430448 67 3 67 5
7002252 97 3 74 3
1142895 69 2 189 2
7287941 50 1 111 4
5369844 45 1 117 4
7627554 93 3 143 6
9001652 75 1 66 6
6793433 45 1 133 4
9369968 52 2 200 2
4206616 80 2 88 5
9021811 80 1 143 5
4696863 54 1 78 5
4575189 61 3 113 4
209905 51 2 100 3
2470562 83 1 142 5
7783718 71 2 58 4
4793228 81 2 127 4
9330968 71 2 112 4
4547648 47 0 150 3
9935214 56 0 102 4
9360559 73 1 125 4
7047210 72 2 46 6
7589256 81 0 73 6
6657334 62 2 99 6
8967858 30 3 142 2
9131171 60 0 115 4
4986202 49 2 128 1
2687940 80 2 106 4
6807724 80 2 92 7
2607646 84 3 40 4
2742929 100 2 115 5
5068811 73 1 155 4
1642186 37 0 99 4
9240527 44 1 98 5
8356799 50 1 146 4
5515556 61 2 99 5
4960434 81 3 111 6
7066718 54 3 81 5
1519326 46 1 146 3
7239849 53 1 88 6
8587721 43 1 104 5
8461658 55 1 136 4
6101253 50 1 131 5
2556572 11 0 149 1
1904308 68 1 82 4
290065 83 0 92 6
3841667 105 3 72 6
928336 50 2 130 4
8383130 71 1 98 5
1770531 59 1 65 4
6900233 36 0 122 4
2428186 66 3 68 3
6831937 55 1 130 4
3245662 70 2 87 5
1721052 114 3 85 7
7254269 58 3 129 5
4321837 82 2 114 6
3237608 75 3 122 4
7549560 89 1 76 5
1761192 93 1 99 4
1058708 69 1 70 5
244674 48 1 153 3
355746 81 1 86 8
9352500 104 1 67 5
4182210 36 1 136 2
6932727 66 2 106 7
1302242 40 0 53 3
8905636 30 1 133 5
3333361 56 0 65 4
6225492 59 0 134 3
9057621 50 2 128 4
9323666 45 1 138 6
2791017 71 2 107 4
9383314 74 1 77 5
6420286 23 1 118 2
1701088 65 1 146 4
9133689 95 2 86 4
9150325 59 0 158 4
1694118 80 2 65 4
591805 88 0 124 7
3865354 64 1 116 4
1260956 28 2 134 3
5916116 67 1 109 6
8483080 38 0 89 4
9486554 25 1 149 4
2376382 77 1 127 5
1390572 54 1 136 3
4744806 45 1 140 3
7440210 89 3 92 6
5174372 37 1 127 3
5617610 50 2 132 4
8138248 44 0 104 4
409610 37 1 171 2
8796769 78 1 152 5
375301 77 2 117 4
7915597 75 2 138 4
4493068 58 1 64 5
4870754 26 1 134 2
6512400 47 3 120 3
104123 61 1 132 4
1274472 87 2 49 5
6746062 54 0 83 5
6195024 35 1 119 5
1693201 60 1 113 5
7908295 62 1 111 3
2345202 58 0 113 6
1279571 66 0 147 3
5847966 88 1 111 5
7502128 53 1 74 3
5902859 64 2 117 4
7473614 56 1 118 5
6443983 65 1 171 3
8397830 72 2 48 6
8610825 92 3 20 5
6408732 80 2 97 3
4057808 35 2 151 5
9246682 83 1 148 3
4416685 58 1 109 4
7730644 74 0 169 3
4694545 59 0 148 3
5353738 64 1 94 6
9480732 85 1 101 4
5080120 65 1 99 5
3545074 76 2 88 4
9512534 99 2 133 5
7605582 96 2 21 8
7934335 54 2 62 6
2588267 54 2 116 5
3204275 79 0 108 4
6756344 58 3 58 4
5165361 89 1 89 4
3485346 46 1 106 4
6486602 64 0 155 5
2292343 20 1 166 3
1512319 74 2 65 5
2218580 64 0 79 5
7143396 65 2 103 6
